Decade,Enter,Exit,Year,Month,Track,Artist,Album Image (URI),audio-embed,Blurb,Danceability (Track),Energy (Track),Speechiness (Track),Acousticness (Track),Instrumentalness (Track),Liveness (Track),Danceability (Month Average),Energy (Month Average),Speechiness (Month Average),Acousticness (Month Average),Instrumentalness (Month Average),Liveness (Month Average)
1970s,1974-04-01,1975-12-31,1974,4,Rock On,David Essex,https://i.scdn.co/image/ab67616d0000b2737f39354389a634ea4a2fb62b,,"This upwards shift in speechiness and liveness can largely be attributed to the significant track ""Rock On"" by David Essex, which not only reached a high rank of 5 but also maintained its presence on the charts for 25 weeks in 1974. Its innovative use of reverb and echo marked a key transition between genres, from rock'n'roll to the more stripped-down aesthetics of punk and new wave, while also influencing the growing glam rock scene with its atmospheric depth and style-focused execution.",0.708,0.171,0.2,0.922,0.00775,0.755,0.55776,0.41608,0.092808,0.63792,0.001467,0.345436
1970s,1978-12-01,1980-12-31,1978,12,I Love The Nightlife (Disco ‘Round),Alicia Bridges,https://i.scdn.co/image/ab67616d0000b273c1c69c9e76fa824c084470ee,,"Alicia Bridges' track ""I Love The Nightlife (Disco 'Round)"" surged in danceability and energy, peaking at 5 and charting for 28 weeks, reflecting trends since the 1960s. It epitomizes the late 1970s disco explosion, becoming an LGBTQ+ anthem and symbolizing disco's evolution from African American communities to a cultural phenomenon, celebrating inclusive nightlife spaces along the way.",0.655,0.596,0.0381,0.159,0.0193,0.11,0.631029,0.547217,0.04563,0.263654,0.013609,0.135691
1980s,1982-02-01,1983-12-31,1982,2,Shake It Up,The Cars,https://i.scdn.co/image/ab67616d0000b273e88d3b5d636ad86643f3a804,,"""Shake It Up"" by The Cars contributed to an overall dip/decrease of acousticness over ~2 years, spending 22 weeks on the charts and reaching a peak position of 4. The track exemplifies the early '80s shift towards pop and new wave music with its catchy, synth-driven melodies and marks a movement away from traditional acoustic sounds towards more electronic production techniques. Furthermore, its music video played a key role in leveraging MTV's emerging influence to revolutionize how music was marketed and consumed during the early 1980s.",0.692,0.74,0.0329,0.0723,0.000088,0.136,0.53505,0.649425,0.04313,0.22183,0.045094,0.227047
1980s,1989-02-01,1990-12-31,1989,2,Wild Thing,Tone-Loc,https://i.scdn.co/image/ab67616d0000b2737d02bf7ee36c4c913636a4f3,,"""Wild Thing"" by Tone Loc, peaking at number 2 and spending 25 weeks on the charts, showcased a significant evolution in music with its high danceability and notable spike in speechiness, shifting away from acoustic sounds toward a hip-hop dominated style. The track quickly sold a million copies, becoming the first rap single certified platinum and demonstrating rap's broad appeal. Its memorable music video further propelled its success, helping to mainstream hip-hop and pave the way for other artists in the genre.",0.943,0.685,0.188,0.000507,0.000009,0.0604,0.67897,0.615424,0.054973,0.289161,0.000038,0.090142
1990s,1993-01-01,1994-12-31,1993,1,Rump Shaker,Wreckx-N-Effect,https://i.scdn.co/image/ab67616d0000b27327df4336aced4ac0b7a7b4ff,,"High speechiness, energy and danceability defined ""Rump Shaker"" by Wreckx-N-Effect, which hit a peak of number 2 in the charts and stayed on the charts for 28 weeks, perfectly the early '90s music scene. The track is a prime example of new jack swing, blending hip-hop's rhythmic elements with R&B's smoothness. Its catchy lyrics and vibrant video resonated widely, reflecting the party-centric themes of early '90s hip-hop culture and significantly contributing to the broader mainstream acceptance of both hip-hop and new jack swing styles.",0.882,0.852,0.22,0.00248,0.0211,0.187,0.556804,0.628176,0.069216,0.199594,0.050987,0.193304
1990s,1998-10-01,1999-06-31,1998,10,This Kiss,Faith Hill,https://i.scdn.co/image/ab67616d0000b2733ee43d5dbf7da3e65be844b3,,"""This Kiss"" by Faith Hill, with its low danceability, high energy, and jump in liveness, captured the attention of both country and pop music fans, peaking at number 7 and staying on the charts for 48 weeks. The song is a standout example of a crossover hit that bridged the gap between country and pop music, helping to redefine the boundaries between the two genres during the late 1990s. As a leading figure in the country pop movement, Faith Hill significantly contributed to the mainstream acceptance of country music with female powerhouses leading the charge.",0.48,0.832,0.0426,0.137,0,0.354,0.632655,0.705621,0.06489,0.179297,0.054944,0.17805
2000s,2003-07-01,2004-12-31,2003,7,In Da Club,50 Cent,https://i.scdn.co/image/ab67616d0000b273d843fabb75fef14010e30cae,,"""In Da Club"" by 50 Cent, which dominated the charts with a nine-week streak at number 1 and stayed on the charts for 30 weeks, contributed to a spike in speechiness. This track not only exemplified the blending of genres—incorporating elements from pop and electronic music—but also highlighted the commercial potential of hip-hop, establishing it as a dominant force in the global music industry. The song's lyrical themes of celebration and enjoyment further cemented its mainstream success, marking a pivotal moment in the evolution of early 2000s hip-hop. ",0.899,0.713,0.366,0.255,0,0.0708,0.62751,0.762837,0.16378,0.144953,0.000083,0.184165
2000s,2005-01-01,2006-12-31,2005,1,Lose My Breath,Destiny's Child,https://i.scdn.co/image/ab67616d0000b2735a4df8a804866955ab8c4def,,"""Lose My Breath"" by Destiny's Child, which achieved a peak ranking of 3 and stayed on the charts for 23 weeks, showcased a notable spike in instrumentalness, reflecting the evolving trends in R&B and pop music production. This track featured a high-energy, percussive sound with innovative use of layered vocals, driving drum beats, and brass sections, setting it apart from typical R&B and pop songs that usually emphasize vocals and melody. The song not only influenced the sound of female pop and R&B groups by setting a high standard for energetic, dance-oriented music but also made significant cultural impacts with its empowering themes of strong women and elaborate choreography showcased in its music video.",0.814,0.899,0.0637,0.00727,0.219,0.0979,0.576803,0.807836,0.06231,0.03916,0.027775,0.200484
2010s,2013-04-01,2014-12-31,2013,4,When I Was Your Man,Bruno Mars,https://i.scdn.co/image/ab67616d0000b273926f43e7cce571e62720fd46,,"""When I Was Your Man"" by Bruno Mars, which reached number 1 and remained on the charts for 35 weeks, marked a significant shift in the musical landscape with an increase in acousticness, highlighting a return to more traditional, instrument-driven sounds in pop music. The song is a prime example of the retro soul influence, with its piano-driven melody and soulful delivery that echoes the emotive ballads of the 1970s. The track's heartfelt lyrics and emotional depth offer a poignant exploration of themes like regret and redemption, resonating deeply with listeners and influencing the music industry by proving that minimalistic ballads can compete with and even outshine the prevalent electronic and dance tracks of the time.",0.612,0.28,0.0434,0.932,0,0.088,0.60975,0.64455,0.04871,0.217341,0.041357,0.189735
2010s,2017-01-01,2018-12-31,2017,1,Scars to Your Beautiful,Alessia Cara,https://i.scdn.co/image/ab67616d0000b2730a48794d471447a030998815,,"""Scars to Your Beautiful"" by Alessia Cara, which remained on the charts for 43 weeks, showcases a significant drop in danceability and an increase in speechiness, reflecting a trend towards more lyrically focused pop music. The song's message of self-love and acceptance resonated deeply, challenging societal beauty standards and empowering particularly women and young girls. As an anthem for the body positivity movement, it influenced the music industry by highlighting the impact of socially conscious themes in pop music.",0.319,0.739,0.272,0.0285,0,0.111,0.567109,0.671945,0.091765,0.192367,0.000063,0.157898